episode,env_step,train_step,ver_reward(avg100env),fwd_reward(avg100env),lat_reward(avg100env),ver_reward(episode),fwd_reward(episode),lat_reward(episode)
1,17900,5713,-0.0301,-0.0758,-0.0906,-0.2374,-0.7504,-0.1777
1,18000,5738,-0.0692,-0.0646,-0.0798,-0.2365,-0.7466,-0.1771
1,18100,5763,-0.0311,-0.0339,-0.0674,-0.2354,-0.7426,-0.1765
1,18200,5788,-0.0407,-0.1007,-0.0485,-0.2343,-0.7391,-0.1758
1,18300,5813,-0.0359,-0.0654,-0.0574,-0.2332,-0.7354,-0.1752
1,18400,5838,-0.0401,-0.1045,-0.0650,-0.2322,-0.7320,-0.1746
1,18500,5863,-0.0336,-0.0914,-0.0682,-0.2311,-0.7285,-0.1740
1,18600,5888,-0.0370,-0.0195,-0.0582,-0.2300,-0.7247,-0.1734
1,18700,5913,-0.0496,-0.0725,-0.0184,-0.2291,-0.7212,-0.1725
1,18800,5938,-0.0582,-0.1188,-0.0373,-0.2282,-0.7180,-0.1718
1,18900,5963,-0.0567,-0.1297,-0.0836,-0.2273,-0.7149,-0.1714
1,19000,5987,-0.0266,-0.0810,-0.0743,-0.2262,-0.7116,-0.1708
1,19100,6013,-0.0424,-0.1061,-0.0504,-0.2252,-0.7084,-0.1702
1,19200,6037,-0.0486,-0.0818,-0.0531,-0.2243,-0.7051,-0.1696
1,19300,6062,-0.0362,-0.0309,-0.0423,-0.2233,-0.7016,-0.1689
1,19400,6088,-0.0393,-0.0273,-0.0169,-0.2224,-0.6982,-0.1682
1,19500,6112,-0.0320,-0.0641,-0.0277,-0.2214,-0.6949,-0.1674
1,19600,6137,-0.0341,-0.1617,-0.0438,-0.2205,-0.6922,-0.1668
1,19700,6162,-0.0310,-0.2570,-0.0632,-0.2195,-0.6900,-0.1663
1,19800,6188,-0.0616,-0.1754,-0.0768,-0.2187,-0.6874,-0.1658
1,19900,6213,-0.0524,-0.1080,-0.0944,-0.2179,-0.6845,-0.1655
1,20000,6238,-0.0545,-0.1125,-0.0841,-0.2171,-0.6816,-0.1651
1,20100,6263,-0.0395,-0.0906,-0.0415,-0.2162,-0.6787,-0.1645
1,20200,6288,-0.0506,-0.0549,-0.0735,-0.2154,-0.6756,-0.1640
1,20300,6313,-0.0351,-0.1714,-0.0693,-0.2145,-0.6731,-0.1635
1,20400,6338,-0.0429,-0.0585,-0.0670,-0.2136,-0.6701,-0.1631
1,20500,6363,-0.0410,-0.1301,-0.0403,-0.2128,-0.6675,-0.1625
1,20600,6388,-0.0297,-0.0460,-0.0228,-0.2119,-0.6644,-0.1618
1,20700,6413,-0.0615,-0.1196,-0.0248,-0.2112,-0.6618,-0.1611
1,20800,6438,-0.0610,-0.2094,-0.0487,-0.2104,-0.6596,-0.1606
1,20900,6463,-0.0851,-0.0441,-0.0588,-0.2098,-0.6567,-0.1601
1,21000,6487,-0.0437,-0.0668,-0.0582,-0.2091,-0.6539,-0.1596
1,21100,6513,-0.0690,-0.2728,-0.0726,-0.2084,-0.6521,-0.1592
1,21200,6538,-0.0863,-0.2286,-0.0521,-0.2078,-0.6501,-0.1587
1,21300,6563,-0.0656,-0.1488,-0.0856,-0.2071,-0.6477,-0.1583
1,21400,6588,-0.0985,-0.0940,-0.0546,-0.2066,-0.6451,-0.1579
1,21500,6613,-0.1333,-0.1164,-0.0798,-0.2063,-0.6427,-0.1575
1,21600,6638,-0.0637,-0.1451,-0.0672,-0.2056,-0.6404,-0.1571
1,21700,6663,-0.0681,-0.1071,-0.0293,-0.2050,-0.6379,-0.1565
1,21800,6688,-0.0411,-0.0814,-0.0403,-0.2043,-0.6354,-0.1560
1,21900,6713,-0.0357,-0.0644,-0.0510,-0.2035,-0.6328,-0.1555
1,22000,6738,-0.0465,-0.2921,-0.0649,-0.2028,-0.6312,-0.1551
